Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2023*,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
Sul,  7.526.624 ,  7.571.527 ,  7.771.959 ,  7.527.392 ,  7.190.267 ,  6.900.873 ,  7.049.956 ,  7.141.588 ,  6.955.336 ,  7.087.255 ,  7.173.508 ,  7.276.983 ,  87.173.268 
,,,,,,,,,,,,,
,2017,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,  39.369.164 ,  38.836.387 ,  40.545.594 ,  39.430.431 ,  38.154.686 ,  38.114.265 ,  37.380.263 ,  37.865.729 ,  39.008.926 ,  39.336.272 ,  39.826.888 ,  39.606.126 ,  467.474.733 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  2.768.205 ,  2.552.629 ,  2.795.464 ,  2.721.049 ,  2.934.453 ,  2.891.844 ,  2.882.108 ,  3.041.036 ,  2.992.579 ,  3.047.409 ,  2.965.901 ,  2.917.594 ,  34.510.271 
Nordeste,  6.706.105 ,  6.341.434 ,  6.789.018 ,  6.561.331 ,  6.672.438 ,  6.591.858 ,  6.381.978 ,  6.503.729 ,  6.504.408 ,  6.870.831 ,  6.905.448 ,  6.902.678 ,  79.731.255 
Sudeste,  19.686.157 ,  19.583.907 ,  20.172.691 ,  19.877.597 ,  18.885.259 ,  18.859.514 ,  18.492.332 ,  18.501.817 ,  19.349.466 ,  19.442.583 ,  19.915.401 ,  19.748.006 ,  232.514.731 
Sul,  7.307.446 ,  7.520.746 ,  7.845.156 ,  7.275.840 ,  6.691.196 ,  6.804.976 ,  6.751.139 ,  6.880.099 ,  6.981.238 ,  6.878.050 ,  6.932.668 ,  7.128.628 ,  84.997.182 
Centro-Oeste,  2.901.250 ,  2.837.672 ,  2.943.265 ,  2.994.615 ,  2.971.340 ,  2.966.073 ,  2.872.706 ,  2.939.048 ,  3.181.236 ,  3.097.398 ,  3.107.470 ,  2.909.220 ,  35.721.294 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  234.746 ,  219.581 ,  235.207 ,  227.399 ,  236.395 ,  234.445 ,  229.246 ,  251.033 ,  254.237 ,  259.045 ,  262.710 ,  249.416 ,  2.893.460 
Norte,  2.784.587 ,  2.571.580 ,  2.805.848 ,  2.747.525 ,  2.929.563 ,  2.911.329 ,  2.912.557 ,  3.057.710 ,  3.026.709 ,  3.096.417 ,  3.011.669 ,  2.987.088 ,  34.842.582 
Nordeste,  6.170.646 ,  5.830.848 ,  6.249.547 ,  6.023.097 ,  6.127.562 ,  6.031.791 ,  5.823.454 ,  5.903.147 ,  5.878.477 ,  6.226.788 ,  6.269.809 ,  6.273.976 ,  72.809.141 
Sudeste/C.Oeste,  22.871.738 ,  22.693.633 ,  23.409.836 ,  23.156.571 ,  22.169.970 ,  22.131.724 ,  21.663.867 ,  21.773.740 ,  22.868.266 ,  22.875.971 ,  23.350.032 ,  22.967.018 ,  271.932.368 
Sul,  7.307.446 ,  7.520.746 ,  7.845.156 ,  7.275.840 ,  6.691.196 ,  6.804.976 ,  6.751.139 ,  6.880.099 ,  6.981.238 ,  6.878.050 ,  6.932.668 ,  7.128.628 ,  84.997.182 
,,,,,,,,,,,,,
,2016,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,  38.400.901 ,  38.727.337 ,  39.444.914 ,  40.269.420 ,  38.648.673 ,  37.550.409 ,  37.255.241 ,  37.693.934 ,  38.345.060 ,  38.197.842 ,  38.754.249 ,  38.780.795 ,  462.068.775 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  2.734.717 ,  2.708.799 ,  2.863.718 ,  2.727.271 ,  2.862.447 ,  2.818.826 ,  2.900.857 ,  2.932.615 ,  2.919.161 ,  2.946.530 ,  2.953.991 ,  2.896.559 ,  34.265.491 
Nordeste,  6.534.573 ,  6.277.837 ,  6.792.209 ,  6.608.879 ,  6.721.518 ,  6.596.045 ,  6.463.676 ,  6.518.965 ,  6.623.804 ,  6.681.298 ,  6.818.249 ,  6.864.369 ,  79.501.420 
Sudeste,  19.314.001 ,  19.495.060 ,  19.611.354 ,  20.520.225 ,  19.303.127 ,  18.651.589 ,  18.388.987 ,  18.711.602 ,  19.239.375 ,  19.147.568 ,  19.361.478 ,  19.268.369 ,  231.012.735 
Sul,  6.978.391 ,  7.406.978 ,  7.259.988 ,  7.326.166 ,  6.859.487 ,  6.644.136 ,  6.665.440 ,  6.609.797 ,  6.587.724 ,  6.452.385 ,  6.690.298 ,  6.944.869 ,  82.425.658 
Centro-Oeste,  2.839.219 ,  2.838.664 ,  2.917.647 ,  3.086.879 ,  2.902.094 ,  2.839.814 ,  2.836.281 ,  2.920.955 ,  2.974.997 ,  2.970.061 ,  2.930.233 ,  2.806.629 ,  34.863.471 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  242.029 ,  243.642 ,  252.453 ,  242.473 ,  231.265 ,  234.959 ,  230.566 ,  260.542 ,  252.657 ,  252.358 ,  253.797 ,  242.865 ,  2.939.606 
Norte,  2.738.088 ,  2.710.419 ,  2.862.575 ,  2.749.857 ,  2.907.970 ,  2.866.943 ,  2.945.013 ,  2.930.266 ,  2.987.174 ,  2.976.023 ,  3.004.283 ,  2.947.041 ,  34.625.652 
Nordeste,  6.005.098 ,  5.746.231 ,  6.239.582 ,  6.050.518 ,  6.155.240 ,  6.031.101 ,  5.901.487 ,  5.949.572 ,  6.007.452 ,  6.094.407 ,  6.207.681 ,  6.273.573 ,  72.661.940 
Sudeste/C.Oeste,  22.437.295 ,  22.620.068 ,  22.830.317 ,  23.900.406 ,  22.494.711 ,  21.773.271 ,  21.512.735 ,  21.943.757 ,  22.510.054 ,  22.422.669 ,  22.598.190 ,  22.372.447 ,  269.415.919 
Sul,  6.978.391 ,  7.406.978 ,  7.259.988 ,  7.326.166 ,  6.859.487 ,  6.644.136 ,  6.665.440 ,  6.609.797 ,  6.587.724 ,  6.452.385 ,  6.690.298 ,  6.944.869 ,  82.425.658 
,,,,,,,,,,,,,
,2015,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,  40.757.968 ,  40.719.266 ,  39.758.964 ,  39.596.670 ,  38.202.362 ,  37.263.666 ,  36.816.443 ,  37.858.685 ,  37.841.650 ,  39.276.666 ,  39.224.855 ,  38.669.960 ,  465.987.156 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  2.720.658 ,  2.565.453 ,  2.709.350 ,  2.646.878 ,  2.718.412 ,  2.693.038 ,  2.833.640 ,  2.891.977 ,  2.964.444 ,  3.050.012 ,  2.958.108 ,  2.962.634 ,  33.714.604 
Nordeste,  6.905.457 ,  6.689.282 ,  6.841.732 ,  6.671.253 ,  6.653.756 ,  6.435.715 ,  6.215.489 ,  6.333.882 ,  6.385.463 ,  6.634.596 ,  6.654.706 ,  6.792.624 ,  79.213.956 
Sudeste,  20.943.263 ,  20.869.827 ,  20.150.053 ,  20.215.138 ,  19.296.452 ,  18.752.591 ,  18.532.921 ,  19.084.994 ,  18.919.408 ,  19.814.546 ,  19.836.832 ,  19.359.382 ,  235.775.407 
Sul,  7.330.738 ,  7.665.269 ,  7.278.854 ,  7.236.052 ,  6.683.610 ,  6.567.886 ,  6.446.540 ,  6.648.544 ,  6.494.009 ,  6.561.339 ,  6.636.696 ,  6.604.791 ,  82.154.328 
Centro-Oeste,  2.857.851 ,  2.929.435 ,  2.778.975 ,  2.827.350 ,  2.850.132 ,  2.814.436 ,  2.787.852 ,  2.899.288 ,  3.078.326 ,  3.216.173 ,  3.138.514 ,  2.950.529 ,  35.128.861 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  328.634 ,  304.534 ,  318.361 ,  317.739 ,  312.272 ,  228.746 ,  233.863 ,  244.334 ,  258.600 ,  283.114 ,  263.477 ,  252.893 ,  3.346.567 
Norte,  2.791.082 ,  2.641.733 ,  2.794.295 ,  2.621.255 ,  2.645.231 ,  2.705.048 ,  2.837.312 ,  2.907.368 ,  2.956.987 ,  3.026.397 ,  2.954.707 ,  2.972.897 ,  33.854.312 
Nordeste,  6.222.269 ,  6.040.031 ,  6.154.033 ,  6.088.618 ,  6.133.183 ,  5.902.293 ,  5.687.260 ,  5.771.891 ,  5.811.515 ,  6.052.106 ,  6.082.628 ,  6.215.136 ,  72.160.964 
Sudeste/C.Oeste,  24.085.244 ,  24.067.699 ,  23.213.421 ,  23.333.007 ,  22.428.066 ,  21.859.692 ,  21.611.468 ,  22.286.548 ,  22.320.539 ,  23.353.710 ,  23.287.348 ,  22.624.243 ,  274.470.985 
Sul,  7.330.738 ,  7.665.269 ,  7.278.854 ,  7.236.052 ,  6.683.610 ,  6.567.886 ,  6.446.540 ,  6.648.544 ,  6.494.009 ,  6.561.339 ,  6.636.696 ,  6.604.791 ,  82.154.328 
,,,,,,,,,,,,,
